a,b,c,num_roots,root_1,root_2,root_3
-76.63268308328246,60.37460328638697,-78.19235260691457,0,,,
18.877489277123427,-64.60704058198137,25.506060248058414,0,,,
-47.88303449362825,14.22010328518657,-66.69777251619236,0,,,
67.56229634151228,-81.5335248285576,4.816982787389712,0,,,
74.29007780365782,-78.56085474830248,1.3778180526517803,0,,,
65.41752416407931,-75.97458507511392,24.722569960429052,0,,,
-47.20791542108411,30.532603346896515,-77.37359807359742,0,,,
73.75375386299548,-80.19736784986297,34.25924108832823,0,,,
35.509165859014956,-77.45072276330076,-36.43965421240094,0,,,
-29.597904109060515,10.944130748661829,-60.64636713309481,0,,,
22.95497601359424,-85.60894605094754,-2.8627030936775766,0,,,
99.00224017028214,-81.56762612054112,91.51682487793936,0,,,
-58.61190938943523,77.63213303769065,-99.78014655609167,0,,,
4.387676598815204,-47.33957557934501,11.933236689644033,0,,,
38.475809629653604,-82.47250348183641,39.88468851834668,0,,,
-65.67342918849674,26.07833414082341,-55.29900906554119,0,,,
28.1394318951391,-43.80589973925384,69.9839168397182,0,,,
-7.728722829337165,-4.864931157337593,-37.14368297271082,0,,,
-88.34704086847765,91.35458019324427,-69.76963358995587,0,,,
-89.53758704707018,13.608784395053707,-61.61855620727636,0,,,
-85.20755548713619,-11.24647048282139,-48.58651562342053,0,,,
-34.33287825053053,99.8706266422128,-98.5028114286365,0,,,
5.450066623932659,-13.32665710035872,86.0468463474499,0,,,
-56.372058970731565,59.39142535040054,-77.14362402074808,0,,,
9.115876456288508,-79.18476678801196,35.68801249284412,0,,,
-36.436822255434876,-1.3720806668330754,-69.40254769701212,0,,,
58.0545686710592,-77.83308508322482,-4.168570844066011,0,,,
14.271073186705241,-56.72688977507951,-6.661527042679993,0,,,
-21.833476124465044,0.2528155140489208,-37.343939485314934,0,,,
40.126473949505396,-78.9383060777739,11.21253836239784,0,,,
-32.44161498932237,6.442296492732735,-29.219903825068005,0,,,
96.22557381422095,-96.29016653171136,14.939824094904575,0,,,
-64.45280355395435,34.630838394661524,-57.28551960998425,0,,,
-71.63200504640909,77.89560722167647,-57.88961916661008,0,,,
-55.496732314036265,50.7825084949314,-55.36670943299453,0,,,
44.96664912964905,-70.87427235775907,-34.58115672489348,0,,,
-46.47404130133357,-8.809207300964928,-32.78537860061308,0,,,
-50.715714567338146,-34.09768447078214,-96.16005839849915,0,,,
-81.65263606495255,22.97529766891413,-81.67207446239595,0,,,
53.71934874452033,-76.93644373666926,13.716741881370398,0,,,
-67.51624197912737,70.83234497937083,-74.81672759285351,0,,,
96.7194815413346,-86.58502386103584,84.18551340371498,0,,,
54.715082005234365,-90.80506962331462,24.063351453013148,0,,,
40.371735110692676,-74.08492020228556,32.966644133713395,0,,,
60.36659772132222,-82.66183955851949,-23.59677286993811,0,,,
-73.87518683882315,23.6606942902843,-59.84488862092498,0,,,
50.016279634178005,-72.7749865027394,22.958002919901467,0,,,
-45.09300532808227,16.449462369191693,-95.95431423481466,0,,,
-76.48194031107553,-11.536698726707261,-33.81160447707825,0,,,
87.87805681994598,-90.83171388055985,-36.91294726792509,0,,,
59.60189527494111,-77.11650223011443,-77.63302813460298,0,,,
-86.05790293457171,-18.501673015433305,-46.44641172361139,0,,,
39.490529532308514,-88.35372881462091,33.756477772326534,0,,,
73.43053668333562,-89.9190832567622,-38.02393902444581,0,,,
0.8577109671717764,-72.46255081693123,14.268972650043853,0,,,
4.118025773880962,-29.354598211409623,-32.351694211966645,0,,,
-26.622033780671096,5.743541127600493,-58.99848952027726,0,,,
-67.00237409093741,24.745837467063513,-83.8719586588158,0,,,
98.86850851731673,-94.67740516800195,11.808950145606678,0,,,
84.52806453638779,-97.42534672820878,-40.10836050526603,0,,,
-78.3218797852399,-8.760043848650124,-49.12633370336976,0,,,
64.1849272078866,-72.32143516742391,23.254649252929617,0,,,
88.90179997601835,-98.31009898509431,24.562613335708505,0,,,
70.6732657267252,-83.5682226802267,24.630342189509125,0,,,
-83.79721184494507,91.40924836216367,-95.98941016710316,0,,,
64.93940994298501,-78.00327720768524,94.1706559549285,0,,,
